radix,person,numerus,tense,toUmlaut
e,1,singular,present,false
st,2,singular,present,false
est,2,singular,present,false
t,3,singular,present,false
et,3,singular,present,false
en,1,plural,present,false
t,2,plural,present,false
et,2,plural,present,false
en,3,plural,present,false
