lemma,nominativ-singular
50-Cent-Münze,50-Cent-Münze
50-Cent-Stück,50-Cent-Stück
50-Euro-Schein,50-Euro-Schein
50-Franken-Note,50-Franken-Note
50-Franken-Schein,50-Franken-Schein
50-Mark-Schein,50-Mark-Schein
500-Euro-Schein,500-Euro-Schein
500-Mark-Schein,500-Mark-Schein
5000-Meter-Lauf,5000-Meter-Lauf
5000-m-Lauf,5000-m-Lauf
50er,50er
59-Jähriger,
5G-Auktion,5G-Auktion
6-Uhr-Vorstellung,6-Uhr-Vorstellung
6-Uhr-Zug,6-Uhr-Zug
6-Zimmer-Wohnung,6-Zimmer-Wohnung
60-Sekunden-Takt,60-Sekunden-Takt
7-Tage-Inzidenz,7-Tage-Inzidenz
7-Tage-R,7-Tage-R
7-Uhr-Vorstellung,7-Uhr-Vorstellung
7-Uhr-Zug,7-Uhr-Zug
7-Zimmer-Wohnung,7-Zimmer-Wohnung
8-Stunden-Tag,8-Stunden-Tag
8-Tonner,8-Tonner
8-Uhr-Vorstellung,8-Uhr-Vorstellung
8-Uhr-Zug,8-Uhr-Zug
90-Minüter,90-Minüter
95 Thesen,
A,A
A-Achse,A-Achse
A-Auswahl,A-Auswahl
A-Bombe,A-Bombe
A-Dur,A-Dur
A-Dur-Tonleiter,A-Dur-Tonleiter
A-Jugend,A-Jugend
A-Jugendliche,
A-Nationalmannschaft,A-Nationalmannschaft
A-Saite,A-Saite
A-Säule,A-Säule
A-a,A-a
A-cappella-Chor,A-cappella-Chor
AB,
ABC,ABC
ABC-Buch,ABC-Buch
ABC-Schütze,ABC-Schütze
ABC-Staaten,
ABC-Tafel,ABC-Tafel
ABC-Trinker,ABC-Trinker
ABC-Waffen,
ABGB,ABGB
ABM-Kraft,ABM-Kraft
ABM-Maßnahme,ABM-Maßnahme
ABS,ABS
ACD,
ACE-Hemmer,ACE-Hemmer
AD,
ADAC,ADAC
ADHS-Kind,ADHS-Kind
ADN,ADN
ADSL,ADSL
ADV,ADV
ADV-Vertrag,ADV-Vertrag
AFC,AFC
AG,AG
AG,AG
AG,AG
AGES,AGES
AHA-Formel,AHA-Formel
AHS,AHS
AIDS-Toter,
AIZ,AIZ
AKH,AKH
AKW,AKW
AKW,
ALARA,ALARA
ALARP,ALARP
ANC,ANC
AOK,AOK
APO,APO
ARBÖ,ARBÖ
ARD,ARD
ARP,ARP
ASCII,ASCII
ASCII-Code,ASCII-Code
ASEAN,ASEAN
ASL-Zeichen,ASL-Zeichen
ASU,ASU
ASVG,ASVG
AStA,AStA
AU-Plakette,AU-Plakette
AVB,
AWG,AWG
AWG,AWG
Aa,Aa
Aa,
Aa,Aa
Aa-Lava,Aa-Lava
Aab,Aab
Aach,Aach
Aach,
Aach,
Aachen,
Aachen,
Aachener,Aachener
