ending,gender,case,numerus,toUmlaut
,male,nominativ,singular,f
,female,nominativ,singular,f
,neutral,nominativ,singular,f


gender,nominativ-singular,gentive-singular,dative-singular,accusative-singular,nominativ-plural,gentive-plural,dative-plural,accusative-plural
male,,es,-e,,er$,e$-er$,en$-ern$,e$-er$
female,,,,,en-$,en-$,en-n$,en-$
neutral,,s-es,-e,,-s-e$-er$,er$-s,s-en$-ern$,-s-e$-er$
