lemma,word,type
24-Stunden-Tankstelle,24-Stunden-Tankstelle,noun
2G-Regel,2G-Regel,noun
"3,4,5-Trihydroxybenzoesäure","3,4,5-Trihydroxybenzoesäure",noun
3-D-Drucker,3-D-Drucker,noun
3-Hexanol,3-Hexanol,noun
3-Meter-Brett,3-Meter-Brett,noun
3-Phenylacrylsäure,3-Phenylacrylsäure,noun
3-Uhr-Vorstellung,3-Uhr-Vorstellung,noun
3-Uhr-Zug,3-Uhr-Zug,noun
3-Zimmer-Wohnung,3-Zimmer-Wohnung,noun
3-m-Brett,3-m-Brett,noun
3. Johannesbrief,,noun
30-jähriger Krieg,,noun
30er,,noun
3D-Gestaltung,3D-Gestaltung,noun
3G-Regel,3G-Regel,noun
4-Amino-1-benzolsulfonsäure,4-Amino-1-benzolsulfonsäure,noun
4-Aminobutansäure,4-Aminobutansäure,noun
4-Hydroxybutansäure,4-Hydroxybutansäure,noun
4-Zimmer-Wohnung,4-Zimmer-Wohnung,noun
40-Stunden-Woche,40-Stunden-Woche,noun
400-Euro-Job,400-Euro-Job,noun
400-Euro-Jobber,400-Euro-Jobber,noun
40er,40er,noun
450-Euro-Job,450-Euro-Job,noun
46-Jähriger,,noun
5-Cent-Münze,5-Cent-Münze,noun
5-Cent-Stück,5-Cent-Stück,noun
5-Euro-Schein,5-Euro-Schein,noun
5-Mark-Schein,5-Mark-Schein,noun
5-Meter-Raum,5-Meter-Raum,noun
5-Minuten-Takt,5-Minuten-Takt,noun
5-Uhr-Vorstellung,5-Uhr-Vorstellung,noun
5-Uhr-Zug,5-Uhr-Zug,noun
5-Zimmer-Wohnung,5-Zimmer-Wohnung,noun
50-Cent-Münze,50-Cent-Münze,noun
50-Cent-Stück,50-Cent-Stück,noun
50-Euro-Schein,50-Euro-Schein,noun
50-Franken-Note,50-Franken-Note,noun
50-Franken-Schein,50-Franken-Schein,noun
50-Mark-Schein,50-Mark-Schein,noun
500-Euro-Schein,500-Euro-Schein,noun
500-Mark-Schein,500-Mark-Schein,noun
